"Folder","FrontmatterName","DescriptionLength","IssueCount","Issues","Description"
"nsfc-grant-writing","nsfc-grant-writing","217","0","","Use when the user writes, revises, reviews, or plans a Chinese NSFC grant application, National Natural Science Foundation proposal, guo-zi-ran, 国自然, 基金本子, 立项依据, 科学问题, 研究内容, 技术路线, 创新点, 可行性分析, or grant review response."
"openclaw","openclaw","211","0","","Use when setting up, configuring, or troubleshooting OpenClaw agent memory, memory plugins, gateway memory, persistent observations, memory slots, worker startup, observation feeds, or OpenClaw install commands."
"p10","p10","233","0","","P10 CTO mode — define strategic direction, design org topology, manage P9 teams. Use when user says 'CTO模式', 'P10', '战略规划', '架构委员会', or when facing cross-team architectural decisions. Produces: strategic input templates + org design."
"p7","p7","246","0","","P7 Senior Engineer mode — solution-driven execution under P8 supervision. Use when user says 'P7模式', '方案驱动', or when spawned as sub-task executor by P8. Produces: implementation plan + code + 3-question self-review, delivered via [P7-COMPLETION]."
"p9","p9","239","0","","P9 Tech Lead mode — write Task Prompts, manage P8 agent teams, never write code yourself. Use when user says 'P9模式', 'tech-lead', '帮我管理这个项目', '任务拆解', or when coordinating 3+ parallel agents. Produces: Task Prompts (六要素) + P8 team delivery."
"pathfinder","pathfinder","199","0","","Use when asked to find the ideal path, map a codebase into feature-grouped flowcharts, identify duplicated concerns across features, unify duplicated systems, or audit architecture before a refactor."
"pdf","pdf","309","0","","Use when the user needs PDF document processing: read, extract text/tables/images, merge, split, rotate, watermark, fill forms, encrypt/decrypt, OCR scanned PDFs, inspect PDF layout, or create utility PDFs. Do not use when PDF is only the export format for a poster, slide, visual artwork, or design artifact."
"pptx","pptx","242","0","","Use when a PowerPoint file is involved as input or output: .pptx, slide deck, pitch deck, presentation, speaker notes, templates, layouts, comments, extracting text, editing slides, creating decks, combining files, or splitting presentations."
"pro","pro","303","0","","Use when the user asks for PUA Pro platform extensions: self-evolution tracking, compaction-state protection, KPI reporting, leaderboard, ranking, weekly report, promotion report, 段位, 周报, 述职, 排行榜, 自进化, or /pua:pro features. Do not use for exact alias commands such as $pua-kpi, $pua-flavor, or $pua-pro."
"pua","pua","478","0","","Use when the user explicitly requests PUA mode or signals frustration, repeated failures (2+), passive behavior, quality complaints, unverified completion, giving up, or asks to try harder/change approach. Common triggers: 'try harder', 'figure it out', 'stop giving up', 'you keep failing', '加油', '别偷懒', '你再试试', '为什么还不行', '你怎么又失败了', '又错了', '质量太差', '换个方法', 'stop spinning', 'you broke it', '/pua', 'PUA模式'. Do not trigger for normal first-attempt coding or information requests."
"pua-cancel-loop","pua-cancel-loop","113","0","","Use when the user invokes $pua-cancel-loop or /pua:cancel-loop to cancel the current PUA autonomous loop cleanly."
"pua-en","pua-en","402","0","","Use when a task has failed repeatedly, the agent is stuck tweaking the same approach, suggests manual work too early, blames the environment without verification, or the user says try harder, stop giving up, figure it out, or similar. Also useful for complex debugging, config, deployment, API, research, and writing failures. Do not trigger on first-attempt failures or while a known fix is executing."
"pua-flavor","pua-flavor","90","0","","Use when the user invokes $pua-flavor or /pua:flavor to list or switch PUA flavor options."
"pua-ja","pua-ja","208","0","","Use when the user asks for pua-ja mode or Japanese 詰め style after repeated task failures, same-approach tweaking loops, passive debugging, unverified environment blame, or frustration such as もっと頑張れ / なんとかしろ."
"pua-kpi","pua-kpi","76","0","","Use when the user invokes $pua-kpi or /pua:kpi to generate a PUA KPI report."
"pua-loop","pua-loop","183","0","","Use when the user asks for /pua:pua-loop, $pua-loop, PUA loop mode, 自动循环, 一直跑, or autonomous iterative development that continues until independent verification says the task is done."
"pua-mama","pua-mama","80","0","","Use when the user invokes $pua-mama or /pua:mama as the alias form of mama mode."
"pua-off","pua-off","84","0","","Use when the user invokes $pua-off or /pua:off to turn off PUA mode for the session."
"pua-offline","pua-offline","128","0","","Use when the user invokes $pua-offline or /pua:offline for offline PUA mode, no-network debugging, or local-only task execution."
"pua-on","pua-on","126","0","","Use when the user invokes $pua-on or /pua:on to enable PUA mode, turn on PUA enforcement, or reactivate strict task execution."
"pua-p10","pua-p10","85","0","","Use when the user invokes $pua-p10 or /pua:p10 for P10 CTO mode with PUA enforcement."
"pua-p7","pua-p7","94","0","","Use when the user invokes $pua-p7 or /pua:p7 for P7 senior engineer mode with PUA enforcement."
"pua-p9","pua-p9","88","0","","Use when the user invokes $pua-p9 or /pua:p9 for P9 tech lead mode with PUA enforcement."
"pua-pro","pua-pro","77","0","","Use when the user invokes $pua-pro or /pua:pro for the PUA Pro alias command."
"pua-reap-orphans","pua-reap-orphans","110","0","","Use when the user invokes $pua-reap-orphans or /pua:reap-orphans to clean up orphaned PUA agents or processes."
"pua-survey","pua-survey","103","0","","Use when the user invokes $pua-survey or /pua:survey to inspect the current PUA environment and status."
"pua-team-status","pua-team-status","112","0","","Use when the user invokes $pua-team-status or /pua:team-status to report active PUA team agents and their state."
"pua-teardown-all","pua-teardown-all","109","0","","Use when the user invokes $pua-teardown-all or /pua:teardown-all to stop and clean up all PUA agent activity."
"pua-yes","pua-yes","88","0","","Use when the user invokes $pua-yes or /pua:yes as the alias form for encouragement mode."
"research-idea-and-battle","research-idea-and-battle","380","0","","Use when the user wants rigorous AI/ML research ideation, novelty critique, hypothesis stress-testing, reviewer-style pushback, field positioning, research mentorship, or brainstorming. Trigger on phrases like research idea, battle this, is this novel, what would reviewers think, critique my idea, contribution, positioning, worth pursuing, weaknesses, or who is working on this."
"scansci-pdf","scansci-pdf","316","0","","Use when the user wants to download academic papers, search research literature, fetch DOI/arXiv PDFs, export BibTeX/RIS/EndNote citations, batch-download from a DOI list or .bib file, use Sci-Hub/WebVPN/ institutional access, or says ""帮我下载论文"", ""搜索文献"", ""批量下载"", ""论文下载"", or ""文献检索"". Skip ordinary non-academic PDF work."
"sci-figure","sci-figure","281","0","","Use when the user provides Excel, CSV, or structured data and wants publication-grade scientific figures, charts, plotting, exploratory analysis, statistical annotations, captions, figure export, or a traceable analysis report for a paper, thesis, lab report, or formal submission."
"shared-skill-installer","shared-skill-installer","446","0","","Use when the user asks to download, install, import, update, or add new AI skills into the shared WPS/desktop Skills library, especially when they mention placing skills in the correct folder, using the inbox, GitHub skill repos, curated skills, .skill packages, or making newly downloaded skills available to local coding agents, IDE agents, or generic agents. Do not use for designing a brand-new skill from scratch; use skill-creator for that."
"shot","shot","272","0","","PUA Shot — v2 原始浓缩版（449行全量注入），拆分前的完整单文件版本，味道最浓。零依赖零 reference，一次性全部注入上下文。适合 sub-agent 注入、需要最强 PUA 效果、或不想渐进式加载的场景。Triggers on: '/pua:shot', '/pua shot', 'PUA浓缩', 'shot mode', '最强PUA', '全量注入'. Also great for injecting into sub-agents via Read tool since it's self-contained."
"skill-creator","skill-creator","319","0","","Create new skills, modify and improve existing skills, and measure skill performance. Use when users want to create a skill from scratch, edit, or optimize an existing skill, run evals to test a skill, benchmark skill performance with variance analysis, or optimize a skill's description for better triggering accuracy."
"slack-gif-creator","slack-gif-creator","200","0","","Use when the user wants an animated GIF optimized for Slack, including emoji GIFs, message GIFs, looped animations, size constraints, frame-rate tuning, palette reduction, or validation before upload."
"smart-explore","smart-explore","191","0","","Use when exploring a codebase efficiently with structural search, tree-sitter AST parsing, function discovery, symbol lookup, or token-optimized code navigation instead of reading full files."
"theme-factory","theme-factory","202","0","","Use when the user wants to apply or create a visual theme for slides, documents, reports, HTML pages, landing pages, or other artifacts, including color palettes, typography, and reusable style systems."
"timeline-report","timeline-report","167","0","","Use when asked for a timeline report, project history analysis, development journey, full project report, or narrative summary built from memory/timeline observations."
"version-bump","claude-code-plugin-release","224","0","","Use when releasing or versioning an agent plugin/package, including semantic version bumps, package.json, marketplace or plugin manifests, npm publishing, build verification, git tags, GitHub releases, and changelog updates."
"web-access-main","web-access","357","0","","Use when the user needs internet or browser access: web search, latest/current information, opening URLs, scraping pages, fetching web content, logged-in browsing, operating websites, dynamic rendered pages, social media collection, source links, or any task requiring a real browser environment. 也用于搜索信息、查看网页内容、访问登录网站、网页抓取、小红书/微博/推特等社交媒体抓取、 动态页面读取和真实浏览器操作。"
"webapp-testing","webapp-testing","214","0","","Use when interacting with or testing local web applications using Playwright, including verifying frontend behavior, debugging UI issues, capturing screenshots, checking browser logs, and exercising localhost apps."
"web-artifacts-builder","web-artifacts-builder","184","0","","Use when creating complex multi-component HTML/web artifacts with React, Tailwind CSS, shadcn/ui, routing, or state management. Do not use for simple single-file HTML or JSX artifacts."
"wowerpoint","wowerpoint","219","0","","Turn one document into a kawaii NotebookLM slide-deck PDF. Use for ""wowerpoint this"", ""make a deck about <file>"", ""turn this report into slides"", or any request to render a single document as shareable narrative slides."
"xgboost-lightgbm","xgboost-lightgbm","226","0","","Use when the user works with tabular machine learning using XGBoost, LightGBM, gradient boosting decision trees, feature importance, hyperparameter tuning, model validation, leakage checks, or structured-data prediction tasks."
"xlsx","xlsx","380","0","","Use when a spreadsheet is the primary input or output: .xlsx, .xlsm, .csv, .tsv, formulas, formatting, charts, data cleaning, table restructuring, or file conversion. Trigger when the user references a spreadsheet path/name or wants a spreadsheet deliverable. Do not use when the primary deliverable is Word, PDF, HTML, code, a database pipeline, or Google Sheets API integration."
"yes","yes","139","0","","SB Leader 夸夸模式 — ENFP 型领导，懂情绪有节奏。底层行为不变（三条红线、方法论），旁白从施压变成共情+鼓励+偶尔戏谑吐槽。Triggers on: '/pua:yes', '夸夸模式', '唠嗑模式', '情绪价值', 'yes', '夸我', '鼓励模式'."
